active_mirror_name,col_name,col_source_name,col_description,data_type,col_alias
developing_countries,oda_eligible_2020,oda_eligible_2020,ODA eligibility 2020 (1 = True),N,ODA eligibility 2020
di_deflators_2016,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
di_deflators_2016,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
di_deflators_2016,country_name,country_name,Country name,C,Country name
di_deflators_2016,dac_marker,dac_marker,Country is a member of the OECD DAC,N,Dac marker
di_deflators_2016,eu_marker,eu_marker,Country is a member of the EU,N,Eu marker
di_deflators_2016,year,year,Year,N,Year
di_deflators_2016,value,value,Deflator multiplier,N,Deflator multiplier
di_deflators_2017,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
di_deflators_2017,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
di_deflators_2017,country_name,country_name,Country name,C,Country name
di_deflators_2017,dac_marker,dac_marker,Country is a member of the OECD DAC,N,Dac marker
di_deflators_2017,eu_marker,eu_marker,Country is a member of the EU,N,Eu marker
di_deflators_2017,year,year,Year,N,Year
di_deflators_2017,value,value,Deflator multiplier,N,Deflator multiplier
wdi,country_name,country_name,Country name,C,Country name
wdi,country_code,country_code,Country code,C,Country code
wdi,indicator_name,indicator_name,Indicator name,C,Indicator name
wdi,indicator_code,indicator_code,Indicator code,C,Indicator code
wdi,year,year,Year,N,Year
wdi,value,value,Value,N,Value
crs_current,year,year,Year,N,Year
crs_current,donor_code,donor_code,Donor Code,N,Donor Code
crs_current,donor_name,donor_name,Donor Name,C,Donor Name
crs_current,agency_code,agency_code,Agency Code,N,Agency Code
crs_current,agency_name,agency_name,Agency Name,C,Agency Name
crs_current,crs_id,crs_id,CRS ID,C,CRS ID
crs_current,project_number,project_number,Project Number,C,Project Number
crs_current,initial_report,initial_report,Initial Report,N,Initial Report
crs_current,recipient_code,recipient_code,Recipient Code,N,Recipient Code
crs_current,recipient_name,recipient_name,Recipient Name,C,Recipient Name
crs_current,region_code,region_code,Region Code,N,Region Code
crs_current,region_name,region_name,Region Name,C,Region Name
crs_current,income_group_code,income_group_code,Income Group Code,N,Income Group Code
crs_current,income_group_name,income_group_name,Income Group Name,C,Income Group Name
crs_current,flow_code,flow_code,Flow Code,N,Flow Code
crs_current,flow_name,flow_name,Flow Name,C,Flow Name
crs_current,bilateral_multilateral,bilateral_multilateral,Bilateral Multilateral,N,Bilateral Multilateral
crs_current,category,category,Category,N,Category
crs_current,finance_type,finance_type,Finance Type,N,Finance Type
crs_current,aid_type,aid_type,Aid Type,C,Aid Type
crs_current,usd_commitment,usd_commitment,USD Commitment,N,USD Commitment
crs_current,usd_disbursement,usd_disbursement,USD Disbursement,N,USD Disbursement
crs_current,usd_received,usd_received,USD Received,N,USD Received
crs_current,usd_commitment_deflated,usd_commitment_deflated,USD Commitment Deflated,N,USD Commitment Deflated
crs_current,usd_disbursement_deflated,usd_disbursement_deflated,USD Disbursement Deflated,N,USD Disbursement Deflated
crs_current,usd_received_deflated,usd_received_deflated,USD Received Deflated,N,USD Received Deflated
crs_current,usd_adjustment,usd_adjustment,USD Adjustment,N,USD Adjustment
crs_current,usd_adjustment_deflated,usd_adjustment_deflated,USD Adjustment Deflated,N,USD Adjustment Deflated
crs_current,usd_amount_untied,usd_amount_untied,USD Amount Untied,N,USD Amount Untied
crs_current,usd_amount_partial_tied,usd_amount_partial_tied,USD Amount Partial Tied,N,USD Amount Partial Tied
crs_current,usd_amount_tied,usd_amount_tied,USD Amount Tied,N,USD Amount Tied
crs_current,usd_amount_untied_deflated,usd_amount_untied_deflated,USD Amount Untied Deflated,N,USD Amount Untied Deflated
crs_current,usd_amount_partial_tied_deflated,usd_amount_partial_tied_deflated,USD Amount Partial Tied Deflated,N,USD Amount Partial Tied Deflated
crs_current,usd_amount_tied_deflated,usd_amount_tied_deflated,USD Amount Tied Deflated,N,USD Amount Tied Deflated
crs_current,usd_irtc,usd_irtc,USD Irtc,N,USD Irtc
crs_current,usd_expert_commitment,usd_expert_commitment,USD Expert Commitment,N,USD Expert Commitment
crs_current,usd_expert_extended,usd_expert_extended,USD Expert Extended,N,USD Expert Extended
crs_current,usd_export_credit,usd_export_credit,USD Export Credit,N,USD Export Credit
crs_current,currency_code,currency_code,Currency Code,N,Currency Code
crs_current,commitment_national,commitment_national,Commitment National,N,Commitment National
crs_current,disbursement_national,disbursement_national,Disbursement National,N,Disbursement National
crs_current,grant_equivalent,grant_equivalent,Grant Equivalent,N,Grant Equivalent
crs_current,usd_grant_equivalent,usd_grant_equivalent,USD Grant Equivalent,N,USD Grant Equivalent
crs_current,short_description,short_description,Short Description,C,Short Description
crs_current,project_title,project_title,Project Title,C,Project Title
crs_current,purpose_code,purpose_code,Purpose Code,N,Purpose Code
crs_current,purpose_name,purpose_name,Purpose Name,C,Purpose Name
crs_current,sector_code,sector_code,Sector Code,N,Sector Code
crs_current,sector_name,sector_name,Sector Name,C,Sector Name
crs_current,channel_code,channel_code,Channel Code,N,Channel Code
crs_current,channel_name,channel_name,Channel Name,C,Channel Name
crs_current,channel_reported_name,channel_reported_name,Channel Reported Name,C,Channel Reported Name
crs_current,channel_parent_category,channel_parent_category,Channel Parent Category,N,Channel Parent Category
crs_current,geography,geography,Geography,C,Geography
crs_current,expected_start_date,expected_start_date,Expected Start Date,C,Expected Start Date
crs_current,completion_date,completion_date,Completion Date,C,Completion Date
crs_current,long_description,long_description,Long Description,C,Long Description
crs_current,gender,gender,Gender,N,Gender
crs_current,environment,environment,Environment,N,Environment
crs_current,trade,trade,Trade,N,Trade
crs_current,pdgg,pdgg,Participatory Democracy and Good Governance,N,Participatory Democracy and Good Governance
crs_current,ftc,ftc,Free-standing Technical Co-operation,N,Free-standing Technical Co-operation
crs_current,pba,pba,Programme Based Approach,N,Programme Based Approach
crs_current,investment_project,investment_project,Investment Project,N,Investment Project
crs_current,associated_finance,associated_finance,Associated Finance,N,Associated Finance
crs_current,biodiversity,biodiversity,Biodiversity,N,Biodiversity
crs_current,climate_mitigation,climate_mitigation,Climate Mitigation,N,Climate Mitigation
crs_current,climate_adaptation,climate_adaptation,Climate Adaptation,N,Climate Adaptation
crs_current,desertification,desertification,Desertification,N,Desertification
crs_current,commitment_date,commitment_date,Commitment Date,C,Commitment Date
crs_current,type_repayment,type_repayment,Type Repayment,N,Type Repayment
crs_current,number_repayment,number_repayment,Number Repayment,N,Number Repayment
crs_current,interest_1,interest_1,Interest 1,C,Interest 1
crs_current,interest_2,interest_2,Interest 2,N,Interest 2
crs_current,repay_date_1,repay_date_1,Repay Date 1,C,Repay Date 1
crs_current,repay_date_2,repay_date_2,Repay Date 2,C,Repay Date 2
crs_current,usd_interest,usd_interest,USD Interest,N,USD Interest
crs_current,usd_outstanding,usd_outstanding,USD Outstanding,N,USD Outstanding
crs_current,usd_arrears_principal,usd_arrears_principal,USD Arrears Principal,N,USD Arrears Principal
crs_current,usd_arrears_interest,usd_arrears_interest,USD Arrears Interest,N,USD Arrears Interest
crs_current,rmnch,rmnch,"Reproductive, Maternal, Newborn and Child Health",N,"Reproductive, Maternal, Newborn and Child Health"
crs_current,budget_identifier,budget_identifier,Budget Identifier,N,Budget Identifier
crs_current,capital_expenditure,capital_expenditure,Capital Expenditure,N,Capital Expenditure
crs_current,sdg_focus,sdg_focus,SDG Focus,C,SDG Focus
crs_current,drr,drr,Disaster Risk Reduction,N,Disaster Risk Reduction
crs_current,nutrition,nutrition,Nutrition,N,Nutrition
crs_current,disability,disability,Disability,N,Disability
crs_current,psi_flag,psi_flag,Private Sector Instrument (PSI) Flag,N,Private Sector Instrument (PSI) Flag
crs_current,psi_add_type,psi_add_type,PSI Additionality Type,N,PSI Additionality Type
crs_current,psi_add_assess,psi_add_assess,PSI Additionality Assessment,C,PSI Additionality Assessment
crs_current,psi_add_dev_obj,psi_add_dev_obj,PSI Additionality Development Objective,C,PSI Additionality Development Objective
dac1_current,donor_code,donor_code,Donor Code,N,Donor Code
dac1_current,donor_name,donor_name,Donor Name,C,Donor Name
dac1_current,part_code,part_code,Part Code,N,Part Code
dac1_current,part_name,part_name,Part Name,C,Part Name
dac1_current,aid_type_code,aid_type_code,Aid Type Code,N,Aid Type Code
dac1_current,aid_type_name,aid_type_name,Aid Type Name,C,Aid Type Name
dac1_current,flows,flows,Flows,N,Flows
dac1_current,fund_flows,fund_flows,Fund Flows,C,Fund Flows
dac1_current,amount_type_code,amount_type_code,Amount Type Code,C,Amount Type Code
dac1_current,amount_type_name,amount_type_name,Amount Type Name,C,Amount Type Name
dac1_current,time,time,Time,N,Time
dac1_current,year,year,Year,N,Year
dac1_current,value,value,Value,N,Value
dac1_current,flags,flags,Flags,C,Flags
dac2a_current,recipient_code,recipient_code,Recipient Code,N,Recipient Code
dac2a_current,recipient_name,recipient_name,Recipient Name,C,Recipient Name
dac2a_current,donor_code,donor_code,Donor Code,N,Donor Code
dac2a_current,donor_name,donor_name,Donor Name,C,Donor Name
dac2a_current,part_code,part_code,Part Code,N,Part Code
dac2a_current,part_name,part_name,Part Name,C,Part Name
dac2a_current,aid_type_code,aid_type_code,Aid Type Code,N,Aid Type Code
dac2a_current,aid_type_name,aid_type_name,Aid Type Name,C,Aid Type Name
dac2a_current,data_type,data_type,Data Type,C,Data Type
dac2a_current,amount_type,amount_type,Amount Type,C,Amount Type
dac2a_current,time,time,Time,N,Time
dac2a_current,year,year,Year,N,Year
dac2a_current,value,value,Value,N,Value
dac2a_current,flags,flags,Flags,C,Flags
dac2b_current,recipient_code,recipient_code,Recipient Code,N,Recipient Code
dac2b_current,recipient_name,recipient_name,Recipient Name,C,Recipient Name
dac2b_current,donor_code,donor_code,Donor Code,N,Donor Code
dac2b_current,donor_name,donor_name,Donor Name,C,Donor Name
dac2b_current,part_code,part_code,Part Code,N,Part Code
dac2b_current,part_name,part_name,Part Name,C,Part Name
dac2b_current,aid_type_code,aid_type_code,Aid Type Code,N,Aid Type Code
dac2b_current,aid_type_name,aid_type_name,Aid Type Name,C,Aid Type Name
dac2b_current,data_type,data_type,Data Type,C,Data Type
dac2b_current,amount_type,amount_type,Amount Type,C,Amount Type
dac2b_current,time,time,Time,N,Time
dac2b_current,year,year,Year,N,Year
dac2b_current,value,value,Value,N,Value
dac2b_current,flags,flags,Flags,C,Flags
dac5_current,donor_code,donor_code,Donor Code,N,Donor Code
dac5_current,donor_name,donor_name,Donor Name,C,Donor Name
dac5_current,sector_code,sector_code,Sector Code,N,Sector Code
dac5_current,sector_name,sector_name,Sector Name,C,Sector Name
dac5_current,aid_type_code,aid_type_code,Aid Type Code,N,Aid Type Code
dac5_current,aid_type_name,aid_type_name,Aid Type Name,C,Aid Type Name
dac5_current,amount_type_code,amount_type_code,Amount Type Code,C,Amount Type Code
dac5_current,amount_type_name,amount_type_name,Amount Type Name,C,Amount Type Name
dac5_current,time,time,Time,N,Time
dac5_current,year,year,Year,N,Year
dac5_current,value,value,Value,N,Value
dac5_current,flags,flags,Flags,C,Flags
weo,WEO.Country.Code,WEO.Country.Code,WEO Country Code,C,WEO Country Code
weo,ISO,ISO,ISO,C,ISO
weo,WEO.Subject.Code,WEO.Subject.Code,WEO Subject Code,C,WEO Subject Code
weo,Country,Country,Country,C,Country
weo,Subject.Descriptor,Subject.Descriptor,Subject Descriptor,C,Subject Descriptor
weo,Subject.Notes,Subject.Notes,Subject Notes,C,Subject Notes
weo,Units,Units,Units,C,Units
weo,Scale,Scale,Scale,C,Scale
weo,Country.Series.specific.Notes,Country.Series.specific.Notes,Country Series specific Notes,C,Country Series specific Notes
weo,Estimates.Start.After,Estimates.Start.After,Estimates Start After,N,Estimates Start After
weo,value,value,Value,N,Value
weo,year,year,Year,N,Year
fts,id,id,ID,N,ID
fts,amountUSD,amountUSD,Amount USD,N,Amount USD
fts,budgetYear,budgetYear,Budget Year,N,Budget Year
fts,description,description,Description,C,Description
fts,flowType,flowType,Flow type,C,Flow type
fts,newMoney,newMoney,New money,C,New money
fts,originalAmount,originalAmount,Original amount,N,Original amount
fts,originalCurrency,originalCurrency,Original currency,C,Original currency
fts,method,method,Method,C,Method
fts,status,status,Status,C,Status
fts,boundary,boundary,Boundary,C,Boundary
fts,onBoundary,onBoundary,On boundary,C,On boundary
fts,Donor,Donor,Donor (Source organisation name),C,Donor (Source organisation name)
fts,source_Location_name,source_Location_name,Source location name,C,Source location name
fts,source_iso3,source_iso3,Source ISO Alpha 3,C,Source ISO Alpha 3
fts,source_UsageYear_name,source_UsageYear_name,Source usage year,C,Source usage year
fts,Recipient.Organization,Recipient.Organization,Recipient Organization (Destination organisation name),C,Recipient Organization (Destination organisation name)
fts,destination_GlobalCluster_name,destination_GlobalCluster_name,Destination global cluster name,C,Destination global cluster name
fts,Destination.Country,Destination.Country,Destination Country (Destination location name),C,Destination Country (Destination location name)
fts,destination_iso3,destination_iso3,Destination ISO Alpha 3,C,Destination ISO Alpha 3
fts,destination_UsageYear_name,destination_UsageYear_name,Destination usage year,C,Destination usage year
fts,destination_Plan_name,destination_Plan_name,Destination plan name,C,Destination plan name
fts,destination_Project_name,destination_Project_name,Destination project name,C,Destination project name
fts,parentFlowId,parentFlowId,Parent flow ID,N,Parent flow ID
fts,grandBargainEarmarkingType,grandBargainEarmarkingType,Grand Bargain earmarking type,C,Grand Bargain earmarking type
fts,source_Plan_id,source_Plan_id,Source plan ID,C,Source plan ID
fts,source_Plan_name,source_Plan_name,Source plan name,C,Source plan name
fts,destination_Cluster_name,destination_Cluster_name,Destination cluster name,C,Destination cluster name
fts,destination_Emergency_name,destination_Emergency_name,Destination emergency name,C,Destination emergency name
fts,exchangeRate,exchangeRate,Exchange rate,N,Exchange rate
fts,source_Emergency_name,source_Emergency_name,Source emergency name,C,Source emergency name
fts,source_GlobalCluster_name,source_GlobalCluster_name,Source global cluster name,C,Source global cluster name
all_resource_flows,id,id,Row ID,C,Row ID
all_resource_flows,year,year,Year,N,Year
all_resource_flows,country_name,country_name,Country name,C,Country name
all_resource_flows,iso2,iso2,ISO Alpha 2,C,ISO Alpha 2
all_resource_flows,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
all_resource_flows,flow_direction,flow_direction,Flow direction,C,Flow direction
all_resource_flows,flow_type,flow_type,Flow type,C,Flow type
all_resource_flows,flow_name,flow_name,Flow name,C,Flow name
all_resource_flows,value_2016,value_2016,Value (constant 2016 USD),N,Value (constant 2016 USD)
all_resource_flows,value_2017,value_2017,Value (constant 2017 USD),N,Value (constant 2017 USD)
fts_isos,country_name,country_name,Country name,C,Country name
fts_isos,country_code,country_code,Country code,C,Country code
fts_isos,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
dac5_current_isos,country_name,country_name,Country name,C,Country name
dac5_current_isos,country_code,country_code,Country code,C,Country code
dac5_current_isos,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
dac2b_current_isos,country_name,country_name,Country name,C,Country name
dac2b_current_isos,country_code,country_code,Country code,C,Country code
dac2b_current_isos,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
dac2a_current_isos,country_name,country_name,Country name,C,Country name
dac2a_current_isos,country_code,country_code,Country code,C,Country code
dac2a_current_isos,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
dac1_current_isos,country_name,country_name,Country name,C,Country name
dac1_current_isos,country_code,country_code,Country code,C,Country code
dac1_current_isos,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
crs_current_regisos,region_name,region_name,Region name,C,Region name
crs_current_regisos,region_code,region_code,Region code,C,Region code
crs_current_isos,country_name,country_name,Country name,C,Country name
crs_current_isos,country_code,country_code,Country code,C,Country code
crs_current_isos,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
wdi_isos,country_name,country_name,Country name,C,Country name
wdi_isos,country_code,country_code,Country code,C,Country code
wdi_isos,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
PovCalNetDist_isos,country_name,country_name,Country name,C,Country name
PovCalNetDist_isos,country_code,country_code,Country code,C,Country code
PovCalNetSmy_regisos,region_name,region_name,Region name,C,Region name
PovCalNetSmy_regisos,region_code,region_code,Region code,C,Region code
PovCalNetSmy_isos,country_name,country_name,Country name,C,Country name
PovCalNetSmy_isos,country_code,country_code,Country code,C,Country code
PovCalNetP20_regisos,region_name,region_name,Region name,C,Region name
PovCalNetP20_regisos,region_code,region_code,Region code,C,Region code
PovCalNetP20_isos,country_name,country_name,Country name,C,Country name
PovCalNetP20_isos,country_code,country_code,Country code,C,Country code
PovCalNetAgg_regisos,region_name,region_name,Region name,C,Region name
PovCalNetAgg_regisos,region_code,region_code,Region code,C,Region code
non_grant_revenue,di_id,di_id,ISO Alpha 2,C,ISO Alpha 2
non_grant_revenue,iso3,iso3,ISO Alpha 3,C,ISO Alpha 3
non_grant_revenue,country_name,country_name,Country name,C,Country name
non_grant_revenue,year,year,Year,N,Year
non_grant_revenue,budget_type,budget_type,Budget type,C,Budget type
non_grant_revenue,l2,l2,Budget level 2,C,Budget level 2
non_grant_revenue,value_current_ncu,value_current_ncu,Value (current national currency unit),N,Value (current national currency unit)
non_grant_revenue,value_current_usd,value_current_usd,Value (current USD),N,Value (current USD)
non_grant_revenue,value_usd_constant_2016,value_usd_constant_2016,Value constant 2016 USD,N,Value constant 2016 USD
non_grant_revenue,value_usd_constant_2017,value_usd_constant_2017,Value constant 2017 USD,N,Value constant 2017 USD
oecd_crs_aid_type_ref,aid_type_code,aid_type_code,Aid type code,C,Aid type code
oecd_crs_aid_type_ref,aid_type_parent_code,aid_type_parent_code,Aid type parent code,C,Aid type parent code
oecd_crs_aid_type_ref,aid_type_parent_name,aid_type_parent_name,Aid type parent name,C,Aid type parent name
oecd_crs_aid_type_ref,aid_type_name,aid_type_name,Aid type name,C,Aid type name
oecd_crs_aid_type_ref,aid_type_description,aid_type_description,Aid type description,C,Aid type description
oecd_crs_aid_type_ref,aid_type_di_name,aid_type_di_name,Aid type DI name,C,Aid type DI name
oecd_crs_aid_type_ref,transfer_aid,transfer_aid,Transfer Aid,C,Transfer Aid
oecd_crs_channel_map,channel_parent_category_code,channel_parent_category_code,Channel Parent Category code,N,Channel Parent Category code
oecd_crs_channel_map,channel_id_code,channel_id_code,Channel ID code,N,Channel ID code
oecd_crs_channel_map,year_added,year_added,Year added,N,Year added
oecd_crs_channel_map,acronym_eng,acronym_eng,Acronym (ENG),C,Acronym (ENG)
oecd_crs_channel_map,oecd_channel_name,oecd_channel_name,OECD channel name,C,OECD channel name
