donor_code,donor_name,donor_type,donor_dac_and_multi
1015,Development Bank of Latin America,Multilateral,DAC and multi
1016,Green Climate Fund,Multilateral,DAC and multi
1017,Credit Guarantee and Investment Facility,Multilateral,DAC and multi
1018,Global Energy Efficiency and Renewable Energy Fund,Multilateral,DAC and multi
1019,IDB Invest,Multilateral,DAC and multi
1020,Central Emergency Response Fund,Multilateral,DAC and multi
1023,World Tourism Organisation,Multilateral,DAC and multi
1024,Asian Infrastructure Investment Bank,Multilateral,DAC and multi
1025,Center of Excellence in Finance,Multilateral,DAC and multi
1037,International Investment Bank,Multilateral,DAC and multi
1038,UN Institute for Disarmament Research,Multilateral,DAC and multi
1311,Global Alliance for Vaccines and Immunization,Multilateral,DAC and multi
1312,Global Fund,Multilateral,DAC and multi
1313,Global Green Growth Institute,Multilateral,DAC and multi
1601,Bill & Melinda Gates Foundation,Private,Private
1602,Dutch Postcode Lottery,Private,Private
1603,Swedish Postcode Lottery,Private,Private
1604,People's Postcode Lottery,Private,Private
1605,MetLife Foundation,Private,Private
1606,MasterCard Foundation,Private,Private
1607,Grameen Crédit Agricole Foundation,Private,Private
1608,IKEA Foundation,Private,Private
1609,Bernard van Leer Foundation,Private,Private
1610,MAVA Foundation,Private,Private
1611,Oak Foundation,Private,Private
1612,H&M Foundation,Private,Private
1613,C&A Foundation,Private,Private
1614,Charity Projects Ltd (Comic Relief),Private,Private
1615,Children's Investment Fund Foundation,Private,Private
1616,Gatsby Charitable Foundation,Private,Private
1617,Conrad N. Hilton Foundation,Private,Private
1618,David & Lucile Packard Foundation,Private,Private
1619,John D. & Catherine T. MacArthur Foundation,Private,Private
1620,Carnegie Corporation of New York,Private,Private
1621,Michael & Susan Dell Foundation,Private,Private
1622,"Omidyar Network Fund, Inc.",Private,Private
1623,Rockefeller Foundation,Private,Private
1624,William & Flora Hewlett Foundation,Private,Private
1625,Arcus Foundation,Private,Private
1626,Gordon and Betty Moore Foundation,Private,Private
1627,Ford Foundation,Private,Private
1628,Wellcome Trust,Private,Private
1629,UBS Optimus Foundation,Private,Private
1630,World Diabetes Foundation,Private,Private
1631,McKnight Foundation,Private,Private
1632,Citi Foundation,Private,Private
1633,LEGO Foundation,Private,Private
1634,Norwegian Postcode Lottery,Private,Private
1635,BBVA Microfinance Foundation,Private,Private
1636,Jacobs Foundation,Private,Private
1637,Arcadia Fund,Private,Private
1638,Margaret A. Cargill Foundation,Private,Private
1639,La Caixa Banking Foundation,Private,Private
