Recipient.Organization,deliverychannels
Save the Children,NGOs and CSOs
Peace Action Society Organisation for Somalia,NGOs and CSOs
Global One 2015,NGOs and CSOs
Comitato di Coordinamento delle Organizzazione per il Servizio Volontario,NGOs and CSOs
Ethiopia Humanitarian Fund,UN Multi
Solidarity Group of Jubbaland,NGOs and CSOs
MÈdecins sans FrontiËres,NGOs and CSOs
United Purpose (formerly known as Concern Universal),NGOs and CSOs
CARE International,NGOs and CSOs
United Nations Human Settlements Programme (UN-HABITAT),UN Multi
Medico International,NGOs and CSOs
Aviation Sans Frontieres,NGOs and CSOs
International Committee of the Red Cross,RCRC
SolidaritÈs International,NGOs and CSOs
Help - Hilfe zur Selbsthilfe e.V.,NGOs and CSOs
OXFAM International,NGOs and CSOs
OXFAM GB,NGOs and CSOs
Action Contre la Faim,NGOs and CSOs
International Medical Corps UK,NGOs and CSOs
Cooperazione Internazionale - COOPI,NGOs and CSOs
NGO Consortium,NGOs and CSOs
Muslim Aid,NGOs and CSOs
ACT Alliance / DanChurchAid,NGOs and CSOs
Guatemala,Public Sector
Deutsche Gesellschaft f¸r Internationale Zusammenarbeit,Public Sector
Office for the Coordination of Humanitarian Affairs,UN Multi
Turkish Red Crescent Society,RCRC
Johanniter Unfallhilfe e.V.,NGOs and CSOs
Norwegian Red Cross,RCRC
PCPM - Polish Center for International Aid,NGOs and CSOs
Malawi Red Cross Society,RCRC
World Vision International,NGOs and CSOs
Central Emergency Response Fund,UN Multi
Medical Emergency Relief International,NGOs and CSOs
ACF - France,NGOs and CSOs
GOAL,NGOs and CSOs
HelpAge International,NGOs and CSOs
Haiti Humanitarian Fund,UN Multi
United Nations Interim Force in Lebanon,UN Multi
Arbeiter-Samariter-Bund Deutschland e.V,NGOs and CSOs
Netherlands Red Cross,RCRC
German Red Cross,RCRC
Swiss Development Cooperation/Swiss Humanitarian Aid,Public Sector
Myanmar,Public Sector
Somalia ERF (until 2012),UN Multi
ACT Alliance / Norwegian Church Aid,NGOs and CSOs
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGOs and CSOs
Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs and CSOs
Right to Play,NGOs and CSOs
Humedica,NGOs and CSOs
Norske PEN,NGOs and CSOs
Terre des Hommes International,NGOs and CSOs
Development Initiatives,NGOs and CSOs
Caritas Germany (DCV),NGOs and CSOs
Swedish Ecumenical Accompaniment Programme in Palestine and Israel,Other
NGOs (details not yet provided),NGOs and CSOs
Aga Khan Foundation,NGOs and CSOs
BBC World Service Trust,NGOs and CSOs
Plan UK,NGOs and CSOs
ACT Alliance / Diakonie Emergency Aid,NGOs and CSOs
Internews Europe,NGOs and CSOs
ActionAid International,NGOs and CSOs
UN Office for Disaster Risk Reduction (formerly UNISDR),UN Multi
Malteser International Order of Malta World Relief,NGOs and CSOs
Active Learning Network for Accountability and Performance,NGOs and CSOs
MÈdecins sans FrontiËres - Netherlands,NGOs and CSOs
"Korea, Democratic People's Republic of",Public Sector
PremiËre Urgence - Aide MÈdicale Internationale (from 2011 to 2015),NGOs and CSOs
Concern Worldwide,NGOs and CSOs
Technisches Hilfswerk (THW),Public Sector
Objectif Tiers Monde,NGOs and CSOs
Friendship,NGOs and CSOs
Nehemia Christenhilfsdienst e.V.,NGOs and CSOs
ACT Alliance / Lutheran World Federation,NGOs and CSOs
ZOA,NGOs and CSOs
Danish Refugee Council,NGOs and CSOs
DEMIRA,NGOs and CSOs
Stichting Vluchteling,NGOs and CSOs
People in Need,NGOs and CSOs
Myanmar Humanitarian Fund,UN Multi
Specially Designated Contributions (OCHA),UN Multi
United Nations Office for Project Services,UN Multi
CARITAS,NGOs and CSOs
International Centre for Transitional Justice,NGOs and CSOs
World Bank,Other multi
Philippines,Public Sector
MÈdecins sans FrontiËres - Belgium,NGOs and CSOs
Philippine Red Cross,RCRC
Colombia Humanitarian Fund,UN Multi
Gruppo Volontariato Civile,NGOs and CSOs
International Catholic Migration Commission,NGOs and CSOs
Terre des Hommes - Italy,NGOs and CSOs
Luxembourg Red Cross,RCRC
IGAD Partnership Forum,Other
United Nations Industrial Development Organization,UN Multi
Islamic Relief Worldwide,NGOs and CSOs
Fondation Suisse pour le DÈminage,NGOs and CSOs
occupied Palestinian territory Humanitarian Fund,UN Multi
Cooperazione E Sviluppo - CESVI,NGOs and CSOs
Jesuit Refugee Service,NGOs and CSOs
Secours Islamique,NGOs and CSOs
Allianz Mission,NGOs and CSOs
UN Agencies,UN Multi
Insan Association,NGOs and CSOs
United Nations Register of Damage,UN Multi
Private (individuals & organizations),NGOs and CSOs
Global Facility for Disaster Risk Reduction,Other multi
Afghanistan ERF (until 2014),UN Multi
Yemen Humanitarian Fund,UN Multi
South Sudan Humanitarian Fund,UN Multi
Palau,Public Sector
Democratic Republic of the Congo Humanitarian Fund,UN Multi
ACF - Spain,NGOs and CSOs
Democratic Control of Armed Forces,NGOs and CSOs
Economic Research Forum,NGOs and CSOs
VÈtÈrinaires sans FrontiËres (Switzerland),NGOs and CSOs
CARICOM Regional Development Programme,Other multi
Samoa,Public Sector
Australian Red Cross,RCRC
United Nations Humanitarian Air Service,UN Multi
OXFAM Quebec,NGOs and CSOs
Agency for Technical Cooperation and Development,NGOs and CSOs
PAP,Other
International Emergency and Development Aid,NGOs and CSOs
Association pour le dÈveloppement social et la sauvegarde de líenvironnement,NGOs and CSOs
SFCG/RDC,NGOs and CSOs
CAMPS/CELPA,NGOs and CSOs
Appui aux Femmes DÈmunies et Enfants MarginalisÈs,NGOs and CSOs
Caritas Congo,NGOs and CSOs
Alliance for International Medical Action,NGOs and CSOs
Associazione Volontari per il Servizio Internazionale,NGOs and CSOs
MEDAIR,NGOs and CSOs
American Academy of Pediatrics,Other
MÈdecins d'Afrique,NGOs and CSOs
Comitato Internationale per lo Sviluppo dei Popoli,NGOs and CSOs
CARE France,NGOs and CSOs
Plan International,NGOs and CSOs
Palau Red Cross Society,RCRC
Omega Plus,Other
Taiwan Tzu-chi Foundation Malaysia,NGOs and CSOs
Care Germany,NGOs and CSOs
Fiji,Public Sector
International Labour Organization,UN Multi
WORLD LUTERAN FEDERATION - COLOMBIA,NGOs and CSOs
Pakistan Humanitarian Fund,UN Multi
Danish Red Cross,RCRC
Kimse Yok Mu Solidarity Foundation,NGOs and CSOs
Christustr‰ger Bruderschaft,NGOs and CSOs
Aga Khan Development Network,NGOs and CSOs
Global Partners,Other
World Vision Sudan,NGOs and CSOs
American Refugee Committee,NGOs and CSOs
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,NGOs and CSOs
International Aid Services,NGOs and CSOs
Mines Advisory Group,NGOs and CSOs
Fellowship for African Relief,NGOs and CSOs
Danish De-mining Group,NGOs and CSOs
Japan Emergency NGO,NGOs and CSOs
ACT Alliance / Lutheran World Relief,NGOs and CSOs
Red Crescent Society of the United Arab Emirates,RCRC
CARE International Switzerland in Sudan,NGOs and CSOs
OXFAM Canada,NGOs and CSOs
CARE Canada,NGOs and CSOs
UN Women,UN Multi
International Relief and Development,NGOs and CSOs
Jordan Health Aid Society,NGOs and CSOs
Madrasati Initiative,NGOs and CSOs
Diakonia World Federation,NGOs and CSOs
Sri Lanka,Public Sector
Afghanistan,Public Sector
Handicap International Belgium,NGOs and CSOs
Secours Islamique France,NGOs and CSOs
Secours Catholique et DÈveloppement,NGOs and CSOs
FOCUS International,NGOs and CSOs
"Congo, Democratic Republic of the ERF (until 2013)",UN Multi
Indonesia ERF (until 2014),UN Multi
Kenya ERF (until 2014),UN Multi
Zimbabwe ERF (until 2014),UN Multi
IFRC Disaster Relief Emergency Fund,RCRC
MA'AN Development Center,NGOs and CSOs
Uganda Red Cross Society,RCRC
Habitat for Humanity International,NGOs and CSOs
Swedish Red Cross,RCRC
Jordan Hashemite Charity Organization,NGOs and CSOs
Helen Keller International,NGOs and CSOs
RTI International (formerly Research Triangle Institute),NGOs and CSOs
Turkey,Public Sector
Transcultural Psychosocial Organization,NGOs and CSOs
Haut ComitÈ de Secours libanais,NGOs and CSOs
MÈdecins du Monde,NGOs and CSOs
Union des Organisations Syrienne de Secours MÈdicaux,NGOs and CSOs
Jordan,Public Sector
Electriciens sans frontiËres,NGOs and CSOs
"Palestinian territory, occupied",Public Sector
Czech Republic,Public Sector
Armenia,Public Sector
Iran,Public Sector
Russian Federation,Public Sector
OXFAM Netherlands (NOVIB),NGOs and CSOs
OIKOS - IntercooperaÁ„o e Desenvolvimento,NGOs and CSOs
Cuba,Public Sector
Mozambique,Public Sector
World Vision Germany,NGOs and CSOs
Swedish Civil Contingencies Agency (MSB),Public Sector
Arche Nova E.V. - Initiative for People in Need,NGOs and CSOs
Czech Red Cross,RCRC
Spanish Red Cross,RCRC
Caritas Spain,NGOs and CSOs
Polish Humanitarian Action,NGOs and CSOs
French Red Cross,RCRC
United Nations Humanitarian Response Depot,UN Multi
Moldova,Public Sector
The Society of the Revival of Islamic Heritage,NGOs and CSOs
Yayasan HOPE Indonesia,NGOs and CSOs
Iimaan Relief and Development Organization,NGOs and CSOs
United Nations Department of Safety and Security,UN Multi
ACT Alliance / Diakonie Katastrophenhilfe,NGOs and CSOs
Soul of Haiti,NGOs and CSOs
CARE Somalia,NGOs and CSOs
Kindernothilfe e.V.,NGOs and CSOs
Les Amis du Liban,NGOs and CSOs
Mission Enfance,NGOs and CSOs
Algerian Red Crescent,RCRC
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs and CSOs
Oficina Panamericana de la Salud,UN Multi
CARE Norway,NGOs and CSOs
Mission Aviation Fellowship,NGOs and CSOs
Mercy Corps Scotland,NGOs and CSOs
Red Cross Organizations | UN Agencies | NGOs,Other
World Vision UK,NGOs and CSOs
RedR UK,NGOs and CSOs
Tajikistan,Public Sector
Salvation Army,NGOs and CSOs
Lay Volunteers International Association,NGOs and CSOs
Kenyan Red Cross Society,RCRC
Caritas New Zealand,NGOs and CSOs
United Nations Joint Programme on HIV/AIDS,UN Multi
Society for Humanitarian Solidarity,NGOs and CSOs
Progressio,NGOs and CSOs
INTERSOS Humanitarian Aid Organization,NGOs and CSOs
CARE Austria,NGOs and CSOs
CARITAS / Catholic Relief Services,NGOs and CSOs
American Near East Refugee Aid,NGOs and CSOs
Trocaire,NGOs and CSOs
Karuna Myanmar Social Services,NGOs and CSOs
Plan Norge,NGOs and CSOs
Inter Press Service,Other
International Institute of Humanitarian Law,NGOs and CSOs
International Press Institute,NGOs and CSOs
The Christian Council of Sweden,NGOs and CSOs
Norsk senter for menneskerettigheter,NGOs and CSOs
Afghanistan Independent Human Rights Commission,Other
ARTICLE 19,NGOs and CSOs
International Federation of Human Rights,NGOs and CSOs
International Institute for Democracy and Electoral Assistance - International IDEA,Other multi
International Criminal Court,Other multi
International Federation of Journalists,NGOs and CSOs
Norwegian Afghanistan Committee,NGOs and CSOs
Amnesty International Norway,NGOs and CSOs
Lebanon,Public Sector
Compact AS,Other
Overseas Development Institute,NGOs and CSOs
Landsforeningen for lesbisk og homofil frigj¯ring,NGOs and CSOs
Merrill Lynch,Other
Purpose Foundation,NGOs and CSOs
Euro-Mediterranean Foundation of Support to Human Rights Defenders,NGOs and CSOs
World Association of Newspapers and News Publishers,NGOs and CSOs
UPR Info,Other
Quaker United Nations Office,NGOs and CSOs
Papua New Guinea,Public Sector
Charities Aid Foundation,NGOs and CSOs
Libya Red Crescent,RCRC
Sustainable Heath Development Centre,Other
Research Council of Norway,NGOs and CSOs
Croix-Rouge du Tchad,RCRC
World Meteorological Organization,UN Multi
UNDP Administered Trust Fund,UN Multi
Viet Nam,Public Sector
Global Editors Network,NGOs and CSOs
Open Society Foundations,NGOs and CSOs
Mozambique Red Cross Society,RCRC
MÈdecins du Monde Belgium,NGOs and CSOs
ACT Alliance / Finn Church Aid,NGOs and CSOs
Vive Zene,NGOs and CSOs
War Child Holland,NGOs and CSOs
Arab Network for Tolerance,NGOs and CSOs
Kuwait Red Crescent Society,RCRC
ACT Alliance / Church of Sweden,NGOs and CSOs
Sierra Leone,Public Sector
Zukunft f. Kinder,Other
Development Workshop,NGOs and CSOs
Aviation Sans Frontieres Belgium,NGOs and CSOs
People in Aid,NGOs and CSOs
MÈdecins sans FrontiËres - Canada,NGOs and CSOs
Caritas Switzerland,NGOs and CSOs
OXFAM America,NGOs and CSOs
Kinderberg International e.V.,NGOs and CSOs
UNICEF National Committees,UN Multi
MÈdecins du Monde France,NGOs and CSOs
Kissito Healthcare International,NGOs and CSOs
British Red Cross,RCRC
Caritas Lebanon Migrants Center,NGOs and CSOs
Swedish Missionary Association,NGOs and CSOs
SODI - Solidarit‰tsdienst-International,NGOs and CSOs
CARE Netherlands,NGOs and CSOs
PremiËre Urgence (until 2010),NGOs and CSOs
Office of the Humanitarian Coordinator,UN Multi
Bolivia,Public Sector
PMU-Interlife,NGOs and CSOs
ACT Alliance / Interchurch Organisation for Development Co-operation,NGOs and CSOs
Brotherhood Association humanity of Human Rights,NGOs and CSOs
HOPEí87 - Hundreds of Original Projects for Employment,NGOs and CSOs
Organization of American States,Other multi
Universitetet i Oslo,NGOs and CSOs
UN GENERAL TRUST FUND,UN Multi
Sametinget,Other
The Rafto Foundation,NGOs and CSOs
Association for the Prevention of Torture,NGOs and CSOs
International Rehabilitation Council of Tortured Victims,Other
University of Oxford - Refugee Studies Centre,NGOs and CSOs
TERREMOTO HAITI,Other
Norwegian Aid Committee,NGOs and CSOs
Medicos sin Fronteras,NGOs and CSOs
Caritas Czech Republic,NGOs and CSOs
Canadian Red Cross Society,RCRC
Praktisk Solidarites,NGOs and CSOs
Admira,NGOs and CSOs
OXFAM Belgium,NGOs and CSOs
NGOs; Red Cross/Red Crescent (details not yet provided),Other
Belgian Red Cross,RCRC
HALO Trust,NGOs and CSOs
Emergency Nutrition Network,NGOs and CSOs
World Vision Canada,NGOs and CSOs
Swiss AIDS Care International,NGOs and CSOs
Jordan National Red Crescent Society,RCRC
Lebanese Red Cross,RCRC
Red Cross Society of Bosnia and Herzegovina,RCRC
Fondation Caritas Luxembourg,NGOs and CSOs
Friedensdorf International,NGOs and CSOs
Katholische M‰nnerbewegung,NGOs and CSOs
Sr. Hildegard Litzlhammer,NGOs and CSOs
UN Trust Fund,UN Multi
International Orthodox Christian Charities,NGOs and CSOs
International Trust Fund for Demining and Victim Assistance,NGOs and CSOs
Center for Victims of Torture,NGOs and CSOs
RET International (Former The Foundation for the Refugee Education Trust till 2014),NGOs and CSOs
ACT Alliance / Bread for the World,NGOs and CSOs
OXFAM,NGOs and CSOs
Horizont 3000,NGOs and CSOs
Committee partnersh Linz- San Carlos,Other
Alpistan,NGOs and CSOs
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,NGOs and CSOs
Erika Weissenbˆck,Other
Sr. Elfride Jagers-berger,NGOs and CSOs
Japanese NGOs,NGOs and CSOs
Daniela Punz,Other
Solidarit‰t mit Lateinamerika,NGOs and CSOs
Ft. Petrus Oberm¸ller,NGOs and CSOs
Waltraud Torossian-Brigasky,Other
Eine Welt-ˆˆ Landlerhilfe,Other
Rum‰nienhilfe Sch‰rding,NGOs and CSOs
Rum‰nienhilfe Liebenau,NGOs and CSOs
Sindh Agriculture and Forestry Workers Cooperation Organization,NGOs and CSOs
Peoples Empowerment and Consulting Enterprise,NGOs and CSOs
Center of Excellence for Rural Development,NGOs and CSOs
Tameer-e-Khalaq Foundation,NGOs and CSOs
Association for Humanitarian Development,NGOs and CSOs
Citizen's Commission for Human Development,NGOs and CSOs
Peace and Development Organization,NGOs and CSOs
Baluchistan Boys Scouts Association,Other
Health And Nutrition Development Society,NGOs and CSOs
Sangtani Women Rural Development Organization,NGOs and CSOs
Society for Human and Institutional Development,NGOs and CSOs
Azat Foundation,NGOs and CSOs
Integrated Health Services,Other
Helping Hand for Relief and Development,NGOs and CSOs
AAGAHI,NGOs and CSOs
Gaza Community Mental Health Programme,NGOs and CSOs
National Society for Rehabilitation,Other
Department of Ecumenical Relations and Development,NGOs and CSOs
Rosalia Hoog,Other
MÈdicos del Mundo Spain,NGOs and CSOs
Haiti,Public Sector
Solidarites-France,NGOs and CSOs
Afghanistan Demain,NGOs and CSOs
Afrique Verte Mali,NGOs and CSOs
Hope International Development Agency,NGOs and CSOs
Croix Rouge Katanga,RCRC
SantÈ DiabËte,NGOs and CSOs
Hilfswerk Austria International,NGOs and CSOs
Fiji Red Cross Society,RCRC
Menschen f¸r,NGOs and CSOs
Fiji Institution of Engineers,NGOs and CSOs
Access to Quality Education Program,Public Sector
ˆˆ Volkshilfe,NGOs and CSOs
World Concern Development Organization,NGOs and CSOs
Nile Hope,NGOs and CSOs
Ft. Hubert Leeb,NGOs and CSOs
Nonviolent Peaceforce,NGOs and CSOs
Street Children Aid,NGOs and CSOs
World Vision South Sudan,NGOs and CSOs
Upper Nile Initiative and Development Organization,NGOs and CSOs
Malaria Consortium,NGOs and CSOs
Ft. Josef Schrˆger,NGOs and CSOs
BRAC,NGOs and CSOs
Ft. Jakob Krinzinger,NGOs and CSOs
Lacha Community and Economic Development,NGOs and CSOs
Anna Lininger,NGOs and CSOs
The Mentor Initiative,NGOs and CSOs
Diocese of Ambikapur,NGOs and CSOs
Universal Intervention and Development Organization,NGOs and CSOs
Medici con l'Africa CUAMM,NGOs and CSOs
Universal Network for Knowledge and Empowerment Agency,NGOs and CSOs
The Health Support Organization,NGOs and CSOs
ˆsterreichisches Nord-S¸d-Institut,NGOs and CSOs
Christian Mission Aid,NGOs and CSOs
Farmer's Life Development Agency,NGOs and CSOs
Christian Recovery and Development Agency,NGOs and CSOs
"Eine Welt Kreis, Zell an der Pram",Other
AMURT International,NGOs and CSOs
World Relief,NGOs and CSOs
Fishermen of Christ Incorporated Philippines,NGOs and CSOs
Hold the Child Organisation,NGOs and CSOs
Ft. Bernard Kurera,NGOs and CSOs
Ft. Karl Kuppelwieser,NGOs and CSOs
War Child Canada,NGOs and CSOs
National Primary Health Care Development Agency,Public Sector
Direct Aid,NGOs and CSOs
Initiative Dritte Welt Braunau,NGOs and CSOs
Association for Aid and Relief Japan,NGOs and CSOs
JASMAR Human Security Organization,NGOs and CSOs
FPDO,NGOs and CSOs
Tawsol Al Amal Charity Organization,NGOs and CSOs
"Anhar for Peace, Development and Humanitarian Work Organization",NGOs and CSOs
ACT Alliance / United Methodist Committee on Relief,NGOs and CSOs
Sudanese Red Crescent,RCRC
Finnish Red Cross,RCRC
Sudanese Women's General Union,NGOs and CSOs
Sudan Open Learning Organisation,NGOs and CSOs
Mubadiroon Organization for Prevention of Disaster and War Impacts,NGOs and CSOs
Practical Action (formerly Intermediate Technology Development Group),NGOs and CSOs
Business and Professional Women Organization,Other multi
Sustainable Action Group,NGOs and CSOs
Sudanese Development Call Organization,NGOs and CSOs
ZAWD - Organization for Humanitarian and Development,Other
Labena Organization for Women Development Aid Capacity Building,NGOs and CSOs
Local Action Organization,NGOs and CSOs
Alsalam Organization for Rehabilitation and Development,NGOs and CSOs
Almanar Voluntary Organization,NGOs and CSOs
Great Family Organization,NGOs and CSOs
United Peace Organization,NGOs and CSOs
Daaralsalam Development Association,NGOs and CSOs
Alshroog Organization for Social and Culture Development,Other
Kabakabiya Smallhoders Charitable Society,NGOs and CSOs
HelpAge International UK,NGOs and CSOs
El Ruhama Organization for Development and Humanitarian Aid,NGOs and CSOs
RDN,Other
Talawiet Organization for Development,NGOs and CSOs
Humanitarian Aid and Development Organization,Other
Panhealth Care Organization,NGOs and CSOs
Kuwait Patients Helping Fund,NGOs and CSOs
Rufaida Health Foundation,NGOs and CSOs
Gruppo per le Relazioni Transculturali,NGOs and CSOs
Canadian Catholic Organization for Development and Peace (Caritas Canada),NGOs and CSOs
Mali,Public Sector
iMMAP,NGOs and CSOs
DIAKONISCHES WERK DER EKD,NGOs and CSOs
United Nations Economic and Social Commission for Asia and the Pacific,UN Multi
Caritas Denmark,NGOs and CSOs
MÈdecins du Monde Canada,NGOs and CSOs
Sante Sud,NGOs and CSOs
SantÈ Mali RhÙne Alpes,NGOs and CSOs
Tanzania,Public Sector
Global Public Policy Institute,NGOs and CSOs
Desert Locust Control Organization for Eastern Africa,Other multi
Tufts University,NGOs and CSOs
Centre for the Coordination of Natural Disaster Prevention in Central America,Other multi
Algeria,Public Sector
China Foundation for Poverty Alleviation,NGOs and CSOs
Red Cross Society of China,RCRC
Toyota Gilbratar,Other
Project Concern International,NGOs and CSOs
Rotary Fiji,NGOs and CSOs
Global Earthquake Model Foundation,Other
World Wildlife Fund,NGOs and CSOs
American Red Cross,RCRC
ACT Alliance / Christian Aid,NGOs and CSOs
Stichting CARE Nederland,NGOs and CSOs
Austrian Red Cross,RCRC
Aide Ì† l''Enfance de l''Inde,NGOs and CSOs
UN Peacebuilding Fund,UN Multi
Handicap International Luxembourg,NGOs and CSOs
Fondation Raoul Follereau,NGOs and CSOs
Neighbors Initiative Alliance,NGOs and CSOs
Badil Resource Center for Palestinian Residency and Refugee Rights,NGOs and CSOs
Wajir South Development Association,NGOs and CSOs
LandsAid e.V.,NGOs and CSOs
Catholic Agency for Overseas Development,NGOs and CSOs
Developmental Action Without Border (Nabaa),NGOs and CSOs
ACT Alliance / Hungarian Interchurch Aid,NGOs and CSOs
CoopÈration Humanitaire Luxembourg,Public Sector
Institut Menzingen,Other
Verein f. hum. Hilfe Vaduz,Other
Les Sarments de Lavaux,NGOs and CSOs
Verein B‰r und Leu,NGOs and CSOs
Palestinian Center of Organic Agriculture,NGOs and CSOs
Palestinian Hydrology Group,NGOs and CSOs
Palestinian Association for Development and Reconstruction,NGOs and CSOs
Palestinian Al Nakheel Association for Progress and Development,NGOs and CSOs
Association d'aide Ì† la femme et de la communication,Other
War Child UK,NGOs and CSOs
Afghanaid,NGOs and CSOs
Franziskaner,Other
Center for the Defence of the Individual,NGOs and CSOs
ROFI Industrier AS,Other
MÈdecins sans FrontiËres - Switzerland,NGOs and CSOs
NGOs | Red Cross Organizations | UN Agencies,Other
Non Violent Peace Force,NGOs and CSOs
Secours Catholique - Caritas France,NGOs and CSOs
Geneva International Centre for Humanitarian Demining,NGOs and CSOs
Ethiopia,Public Sector
Association IdÈe-elles,NGOs and CSOs
Association Persis Valais,NGOs and CSOs
Swisscontact,NGOs and CSOs
Associazione Amici dellíOasis Togo,NGOs and CSOs
Association of International Development Agencies,NGOs and CSOs
Conflict Dynamics International,NGOs and CSOs
Community and Family Services International,NGOs and CSOs
NGOs | UN Agencies,Other
Kenya,Public Sector
Aweil Window of Opportunities and Development Agency,NGOs and CSOs
Bel Avenir,Other
Restart Center for Rehabilitation of Victims of Violence and Torture,NGOs and CSOs
Un Ponte Per,NGOs and CSOs
World Vision USA,NGOs and CSOs
Kuehne & Nagel,Other
Peace Corps,Public Sector
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs and CSOs
AISHA Association for Woman and Child Protection,NGOs and CSOs
Catholic Organisation for Relief and Development Aid,NGOs and CSOs
Christian Peacemaker Teams,NGOs and CSOs
Zimbabwe,Public Sector
Bangladesh,Public Sector
Mercy-USA for Aid and Development,NGOs and CSOs
"Education, Health, Social Awareness and Rehabilitation Foundation",NGOs and CSOs
Intercare,NGOs and CSOs
Swedish Cooperative Centre,NGOs and CSOs
Fundacion Promocion Social de la Cultura,NGOs and CSOs
SOS Kinderdorf,NGOs and CSOs
Dominica,Public Sector
Mine Action Group,Other
UN Agencies | NGOs,Other
Papua New Guinea Red Cross Society,RCRC
Samoa Red Cross Society,RCRC
Solomon Islands Red Cross,RCRC
Caritas Chad,NGOs and CSOs
Afghan NGO Security Office,NGOs and CSOs
Chapman Freeborn Airchartering,Other
New Consultancy and Relief Organization,NGOs and CSOs
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,NGOs and CSOs
Afghan Women Association for Rehabilitation & Development,NGOs and CSOs
Social and Humanitarian Assistance Organization,Other
Afghan Social and Agricultural Affairs Rehabilitation Organization,Other
"Congo, Democratic Republic of",Public Sector
TASSAGHT,Other
Groupement des Artisans ruraux díINTADENE-GARI,Other
Oxfam Italia,NGOs and CSOs
Community Aid for Development,Other
Carl Duisberg Gesellschaft,NGOs and CSOs
Kolnische Franziskanerprovinz Bosnienhilfe,NGOs and CSOs
Danish Committee for Aid to Afghan Refugees,NGOs and CSOs
Somali Humanitarian Aid and Development Organization,NGOs and CSOs
Bashaer,Other
International Media Support,NGOs and CSOs
African Development Solutions,NGOs and CSOs
Wamo Relief and Rehabilitation Services,NGOs and CSOs
Search for Common Ground,NGOs and CSOs
RHA,Other
Heal Africa,NGOs and CSOs
CRRDC-TD,Other
Centre de Promotion Socio-Sanitaire,NGOs and CSOs
Commission diocÈsaine justice et paix (CDJP),Other
ComitÈ díAppui Ì† líAuto Promotion,NGOs and CSOs
Alpha Ujuvi,NGOs and CSOs
CARITAS KINDU,NGOs and CSOs
Caritas Dev Kalemie,NGOs and CSOs
CARITAS BUNIA,NGOs and CSOs
ArmÈe du Salut Kalemie,NGOs and CSOs
Action d'Espoir,NGOs and CSOs
APEC (Association pour la protection de l'enfance  au Congo),Other
Actions et Interventions pour le DÈveloppement et l'Encadrement Social,NGOs and CSOs
Caritas Kananga,NGOs and CSOs
Association Locale pour le DÈveloppement IntÈgral,NGOs and CSOs
Questscope,NGOs and CSOs
Plan Sweden,NGOs and CSOs
CARE USA,NGOs and CSOs
Mine Detection Centre,NGOs and CSOs
Humanitarian Aid Commission,NGOs and CSOs
HCC-Humanit‰re Nothilfeprogramme weltweit,NGOs and CSOs
PIPA,Other
ASCHIANA,NGOs and CSOs
