Recipient.Organization,recipientcodename
Haiti Humanitarian Fund,CBPF
United Nations Interim Force in Lebanon,UN Multi
Arbeiter-Samariter-Bund Deutschland e.V,NGOs
Netherlands Red Cross,red cross
German Red Cross,red cross
Swiss Development Cooperation/Swiss Humanitarian Aid,DAC governments
Myanmar,National government
Somalia ERF (until 2012),CBPF
ACT Alliance / Norwegian Church Aid,NGOs
HEKS - Hilfswerk der Evangelischen Kirchen Schweiz,NGOs
Deutsche Welthungerhilfe e.V. (German Agro Action),NGOs
Right to Play,NGOs
Humedica,NGOs
Norske PEN,private individual/organisation
Terre des Hommes International,NGOs
Development Initiatives,academia/think/research
Caritas Germany (DCV),NGOs
Swedish Ecumenical Accompaniment Programme in Palestine and Israel,other
NGOs (details not yet provided),NGOs
Aga Khan Foundation,NGOs
BBC World Service Trust,NGOs
Plan UK,NGOs
ACT Alliance / Diakonie Emergency Aid,NGOs
Internews Europe,NGOs
ActionAid International,NGOs
UN Office for Disaster Risk Reduction (formerly UNISDR),UN Multi
Malteser International Order of Malta World Relief,NGOs
Active Learning Network for Accountability and Performance,academia/think/research
MÈdecins sans FrontiËres - Netherlands,NGOs
"Korea, Democratic People's Republic of",National government
PremiËre Urgence - Aide MÈdicale Internationale (from 2011 to 2015),NGOs
Concern Worldwide,NGOs
Technisches Hilfswerk (THW),DAC governments
Objectif Tiers Monde,NGOs
Friendship,NGOs
Nehemia Christenhilfsdienst e.V.,NGOs
ACT Alliance / Lutheran World Federation,NGOs
ZOA,NGOs
Danish Refugee Council,NGOs
DEMIRA,NGOs
Stichting Vluchteling,foundations
People in Need,NGOs
Myanmar Humanitarian Fund,CBPF
Specially Designated Contributions (OCHA),UN Multi
United Nations Office for Project Services,UN Multi
CARITAS,NGOs
International Centre for Transitional Justice,NGOs
World Bank,Other multi
Philippines,National government
MÈdecins sans FrontiËres - Belgium,NGOs
Philippine Red Cross,red cross
Colombia Humanitarian Fund,CBPF
Gruppo Volontariato Civile,NGOs
International Catholic Migration Commission,NGOs
Terre des Hommes - Italy,NGOs
Luxembourg Red Cross,red cross
IGAD Partnership Forum,other
United Nations Industrial Development Organization,UN Multi
Islamic Relief Worldwide,NGOs
Fondation Suisse pour le DÈminage,NGOs
occupied Palestinian territory Humanitarian Fund,CBPF
Cooperazione E Sviluppo - CESVI,NGOs
Jesuit Refugee Service,NGOs
Secours Islamique,NGOs
Allianz Mission,NGOs
UN Agencies,UN Multi
Insan Association,NGOs
United Nations Register of Damage,UN Multi
Private (individuals & organizations),private individual/organisation
Global Facility for Disaster Risk Reduction,Other multi
Afghanistan ERF (until 2014),CBPF
Yemen Humanitarian Fund,CBPF
South Sudan Humanitarian Fund,CBPF
Palau,National government
Democratic Republic of the Congo Humanitarian Fund,CBPF
ACF - Spain,NGOs
Democratic Control of Armed Forces,foundations
Economic Research Forum,academia/think/research
VÈtÈrinaires sans FrontiËres (Switzerland),NGOs
CARICOM Regional Development Programme,Other multi
Samoa,National government
Australian Red Cross,red cross
United Nations Humanitarian Air Service,UN Multi
OXFAM Quebec,NGOs
Agency for Technical Cooperation and Development,NGOs
PAP,other
International Emergency and Development Aid,NGOs
Association pour le dÈveloppement social et la sauvegarde de líenvironnement,NGOs
SFCG/RDC,NGOs
CAMPS/CELPA,NGOs
Appui aux Femmes DÈmunies et Enfants MarginalisÈs,NGOs
Caritas Congo,NGOs
Alliance for International Medical Action,NGOs
Associazione Volontari per il Servizio Internazionale,NGOs
MEDAIR,NGOs
American Academy of Pediatrics,academia/think/research
MÈdecins d'Afrique,NGOs
Comitato Internationale per lo Sviluppo dei Popoli,NGOs
CARE France,NGOs
Plan International,NGOs
Palau Red Cross Society,red cross
Omega Plus,private sector corporations
Taiwan Tzu-chi Foundation Malaysia,foundations
Care Germany,NGOs
Fiji,National government
International Labour Organization,UN Multi
WORLD LUTERAN FEDERATION - COLOMBIA,private individual/organisation
Pakistan Humanitarian Fund,CBPF
Danish Red Cross,red cross
Kimse Yok Mu Solidarity Foundation,foundations
Christustr‰ger Bruderschaft,private individual/organisation
Aga Khan Development Network,NGOs
Global Partners,other
World Vision Sudan,NGOs
American Refugee Committee,NGOs
B'Tselem - the Israeli Information Center for Human Rights in the Occupied Territories,academia/think/research
International Aid Services,NGOs
Mines Advisory Group,NGOs
Fellowship for African Relief,NGOs
Danish De-mining Group,NGOs
Japan Emergency NGO,NGOs
ACT Alliance / Lutheran World Relief,NGOs
Red Crescent Society of the United Arab Emirates,red cross
CARE International Switzerland in Sudan,NGOs
OXFAM Canada,NGOs
CARE Canada,NGOs
UN Women,UN Multi
International Relief and Development,NGOs
Jordan Health Aid Society,NGOs
Madrasati Initiative,private individual/organisation
Diakonia World Federation,foundations
Sri Lanka,National government
Afghanistan,National government
Handicap International Belgium,NGOs
Secours Islamique France,NGOs
Secours Catholique et DÈveloppement,NGOs
FOCUS International,NGOs
"Congo, Democratic Republic of the ERF (until 2013)",CBPF
Indonesia ERF (until 2014),CBPF
Kenya ERF (until 2014),CBPF
Zimbabwe ERF (until 2014),CBPF
IFRC Disaster Relief Emergency Fund,red cross
MA'AN Development Center,NGOs
Uganda Red Cross Society,red cross
Habitat for Humanity International,NGOs
Swedish Red Cross,red cross
Jordan Hashemite Charity Organization,NGOs
Helen Keller International,NGOs
RTI International (formerly Research Triangle Institute),academia/think/research
Turkey,National government
Transcultural Psychosocial Organization,NGOs
Haut ComitÈ de Secours libanais,NGOs
MÈdecins du Monde,NGOs
Union des Organisations Syrienne de Secours MÈdicaux,NGOs
Jordan,National government
Electriciens sans frontiËres,NGOs
"Palestinian territory, occupied",National government
Czech Republic,DAC governments
Armenia,National government
Iran,National government
Russian Federation,National government
OXFAM Netherlands (NOVIB),NGOs
OIKOS - IntercooperaÁ„o e Desenvolvimento,NGOs
Cuba,National government
Mozambique,National government
World Vision Germany,NGOs
Swedish Civil Contingencies Agency (MSB),DAC governments
Arche Nova E.V. - Initiative for People in Need,NGOs
Czech Red Cross,red cross
Spanish Red Cross,red cross
Caritas Spain,NGOs
Polish Humanitarian Action,NGOs
French Red Cross,red cross
United Nations Humanitarian Response Depot,UN Multi
Moldova,National government
The Society of the Revival of Islamic Heritage,private individual/organisation
Yayasan HOPE Indonesia,NGOs
Iimaan Relief and Development Organization,NGOs
United Nations Department of Safety and Security,UN Multi
ACT Alliance / Diakonie Katastrophenhilfe,NGOs
Soul of Haiti,NGOs
CARE Somalia,NGOs
Kindernothilfe e.V.,NGOs
Les Amis du Liban,private individual/organisation
Mission Enfance,NGOs
Algerian Red Crescent,red cross
Asociacion de Trabajadores y Tecnicos Sin Fronteras,NGOs
Oficina Panamericana de la Salud,UN Multi
CARE Norway,NGOs
Mission Aviation Fellowship,NGOs
Mercy Corps Scotland,NGOs
Red Cross Organizations | UN Agencies | NGOs,Undefined
World Vision UK,NGOs
RedR UK,NGOs
Tajikistan,National government
Salvation Army,NGOs
Lay Volunteers International Association,NGOs
Kenyan Red Cross Society,red cross
Caritas New Zealand,NGOs
United Nations Joint Programme on HIV/AIDS,UN Multi
Society for Humanitarian Solidarity,NGOs
Progressio,NGOs
INTERSOS Humanitarian Aid Organization,NGOs
CARE Austria,NGOs
CARITAS / Catholic Relief Services,NGOs
American Near East Refugee Aid,NGOs
Trocaire,NGOs
Karuna Myanmar Social Services,NGOs
Plan Norge,NGOs
Inter Press Service,private sector corporations
International Institute of Humanitarian Law,NGOs
International Press Institute,private individual/organisation
The Christian Council of Sweden,private individual/organisation
Norsk senter for menneskerettigheter,academia/think/research
Afghanistan Independent Human Rights Commission,other
ARTICLE 19,NGOs
International Federation of Human Rights,NGOs
International Institute for Democracy and Electoral Assistance - International IDEA,Other multi
International Criminal Court,Other multi
International Federation of Journalists,private individual/organisation
Norwegian Afghanistan Committee,NGOs
Amnesty International Norway,NGOs
Lebanon,National government
Compact AS,private sector corporations
Overseas Development Institute,academia/think/research
Landsforeningen for lesbisk og homofil frigj¯ring,private individual/organisation
Merrill Lynch,private sector corporations
Purpose Foundation,foundations
Euro-Mediterranean Foundation of Support to Human Rights Defenders,foundations
World Association of Newspapers and News Publishers,private individual/organisation
UPR Info,other
Quaker United Nations Office,NGOs
Papua New Guinea,National government
Charities Aid Foundation,NGOs
Libya Red Crescent,red cross
Sustainable Heath Development Centre,other
Research Council of Norway,academia/think/research
Croix-Rouge du Tchad,red cross
World Meteorological Organization,UN Multi
UNDP Administered Trust Fund,UN Multi
Viet Nam,National government
Global Editors Network,private individual/organisation
Open Society Foundations,foundations
Mozambique Red Cross Society,red cross
MÈdecins du Monde Belgium,NGOs
ACT Alliance / Finn Church Aid,NGOs
Vive Zene,NGOs
War Child Holland,NGOs
Arab Network for Tolerance,NGOs
Kuwait Red Crescent Society,red cross
ACT Alliance / Church of Sweden,NGOs
Sierra Leone,National government
Zukunft f. Kinder,other
Development Workshop,NGOs
Aviation Sans Frontieres Belgium,NGOs
People in Aid,NGOs
MÈdecins sans FrontiËres - Canada,NGOs
Caritas Switzerland,NGOs
OXFAM America,NGOs
Kinderberg International e.V.,NGOs
UNICEF National Committees,UN Multi
MÈdecins du Monde France,NGOs
Kissito Healthcare International,private individual/organisation
British Red Cross,red cross
Caritas Lebanon Migrants Center,NGOs
Swedish Missionary Association,private individual/organisation
SODI - Solidarit‰tsdienst-International,NGOs
CARE Netherlands,NGOs
PremiËre Urgence (until 2010),NGOs
Office of the Humanitarian Coordinator,UN Multi
Bolivia,National government
PMU-Interlife,NGOs
ACT Alliance / Interchurch Organisation for Development Co-operation,NGOs
Brotherhood Association humanity of Human Rights,private individual/organisation
HOPEí87 - Hundreds of Original Projects for Employment,NGOs
Organization of American States,Other multi
Universitetet i Oslo,academia/think/research
UN GENERAL TRUST FUND,UN Multi
Sametinget,other
The Rafto Foundation,foundations
Association for the Prevention of Torture,NGOs
International Rehabilitation Council of Tortured Victims,other
University of Oxford - Refugee Studies Centre,academia/think/research
TERREMOTO HAITI,other
Norwegian Aid Committee,NGOs
Medicos sin Fronteras,NGOs
Caritas Czech Republic,NGOs
Canadian Red Cross Society,red cross
Praktisk Solidarites,NGOs
Admira,NGOs
OXFAM Belgium,NGOs
NGOs; Red Cross/Red Crescent (details not yet provided),other
Belgian Red Cross,red cross
HALO Trust,NGOs
Emergency Nutrition Network,academia/think/research
World Vision Canada,NGOs
Swiss AIDS Care International,NGOs
Jordan National Red Crescent Society,red cross
Lebanese Red Cross,red cross
Red Cross Society of Bosnia and Herzegovina,red cross
Fondation Caritas Luxembourg,NGOs
Friedensdorf International,NGOs
Katholische M‰nnerbewegung,NGOs
Sr. Hildegard Litzlhammer,private individual/organisation
UN Trust Fund,UN Multi
International Orthodox Christian Charities,NGOs
International Trust Fund for Demining and Victim Assistance,NGOs
Center for Victims of Torture,NGOs
RET International (Former The Foundation for the Refugee Education Trust till 2014),NGOs
ACT Alliance / Bread for the World,NGOs
OXFAM,NGOs
Horizont 3000,NGOs
Committee partnersh Linz- San Carlos,other
Alpistan,NGOs
EMERGENCY - Life Support for Civilian War Victims ONG Onlus,NGOs
Erika Weissenbˆck,other
Sr. Elfride Jagers-berger,private individual/organisation
Japanese NGOs,NGOs
Daniela Punz,other
Solidarit‰t mit Lateinamerika,NGOs
Ft. Petrus Oberm¸ller,private individual/organisation
Waltraud Torossian-Brigasky,other
Eine Welt-ˆˆ Landlerhilfe,other
Rum‰nienhilfe Sch‰rding,NGOs
Rum‰nienhilfe Liebenau,NGOs
Sindh Agriculture and Forestry Workers Cooperation Organization,private individual/organisation
Peoples Empowerment and Consulting Enterprise,NGOs
Center of Excellence for Rural Development,NGOs
Tameer-e-Khalaq Foundation,foundations
Association for Humanitarian Development,NGOs
Citizen's Commission for Human Development,NGOs
Peace and Development Organization,NGOs
Baluchistan Boys Scouts Association,other
Health And Nutrition Development Society,NGOs
Sangtani Women Rural Development Organization,NGOs
Society for Human and Institutional Development,NGOs
Azat Foundation,NGOs
Integrated Health Services,other
Helping Hand for Relief and Development,NGOs
AAGAHI,NGOs
Gaza Community Mental Health Programme,NGOs
National Society for Rehabilitation,other
Department of Ecumenical Relations and Development,foundations
Rosalia Hoog,other
MÈdicos del Mundo Spain,NGOs
Haiti,National government
Solidarites-France,NGOs
Afghanistan Demain,NGOs
Afrique Verte Mali,NGOs
Hope International Development Agency,NGOs
Croix Rouge Katanga,red cross
SantÈ DiabËte,NGOs
Hilfswerk Austria International,NGOs
Fiji Red Cross Society,red cross
Menschen f¸r,NGOs
Fiji Institution of Engineers,academia/think/research
Access to Quality Education Program,National government
ˆˆ Volkshilfe,NGOs
World Concern Development Organization,NGOs
Nile Hope,NGOs
Ft. Hubert Leeb,private individual/organisation
Nonviolent Peaceforce,NGOs
Street Children Aid,NGOs
World Vision South Sudan,NGOs
Upper Nile Initiative and Development Organization,NGOs
Malaria Consortium,NGOs
Ft. Josef Schrˆger,private individual/organisation
BRAC,NGOs
Ft. Jakob Krinzinger,private individual/organisation
Lacha Community and Economic Development,NGOs
Anna Lininger,private individual/organisation
The Mentor Initiative,NGOs
Diocese of Ambikapur,private individual/organisation
Universal Intervention and Development Organization,NGOs
Medici con l'Africa CUAMM,NGOs
Universal Network for Knowledge and Empowerment Agency,NGOs
The Health Support Organization,NGOs
ˆsterreichisches Nord-S¸d-Institut,academia/think/research
Christian Mission Aid,NGOs
Farmer's Life Development Agency,NGOs
Christian Recovery and Development Agency,NGOs
"Eine Welt Kreis, Zell an der Pram",other
AMURT International,NGOs
World Relief,NGOs
Fishermen of Christ Incorporated Philippines,NGOs
Hold the Child Organisation,NGOs
Ft. Bernard Kurera,private individual/organisation
Ft. Karl Kuppelwieser,private individual/organisation
War Child Canada,NGOs
National Primary Health Care Development Agency,National government
Direct Aid,NGOs
Initiative Dritte Welt Braunau,NGOs
Association for Aid and Relief Japan,NGOs
JASMAR Human Security Organization,NGOs
FPDO,NGOs
Tawsol Al Amal Charity Organization,NGOs
"Anhar for Peace, Development and Humanitarian Work Organization",NGOs
ACT Alliance / United Methodist Committee on Relief,NGOs
Sudanese Red Crescent,red cross
Finnish Red Cross,red cross
Sudanese Women's General Union,NGOs
Sudan Open Learning Organisation,NGOs
Mubadiroon Organization for Prevention of Disaster and War Impacts,NGOs
Practical Action (formerly Intermediate Technology Development Group),NGOs
Business and Professional Women Organization,Other multi
Sustainable Action Group,NGOs
Sudanese Development Call Organization,NGOs
ZAWD - Organization for Humanitarian and Development,other
Labena Organization for Women Development Aid Capacity Building,NGOs
Local Action Organization,NGOs
Alsalam Organization for Rehabilitation and Development,NGOs
Almanar Voluntary Organization,NGOs
Great Family Organization,private individual/organisation
United Peace Organization,NGOs
Daaralsalam Development Association,NGOs
Alshroog Organization for Social and Culture Development,Undefined
Kabakabiya Smallhoders Charitable Society,NGOs
HelpAge International UK,NGOs
El Ruhama Organization for Development and Humanitarian Aid,NGOs
RDN,private sector corporations
Talawiet Organization for Development,NGOs
Humanitarian Aid and Development Organization,other
Panhealth Care Organization,NGOs
Kuwait Patients Helping Fund,NGOs
Rufaida Health Foundation,NGOs
Gruppo per le Relazioni Transculturali,NGOs
Canadian Catholic Organization for Development and Peace (Caritas Canada),NGOs
Mali,National government
iMMAP,NGOs
DIAKONISCHES WERK DER EKD,NGOs
United Nations Economic and Social Commission for Asia and the Pacific,UN Multi
Caritas Denmark,NGOs
MÈdecins du Monde Canada,NGOs
Sante Sud,NGOs
SantÈ Mali RhÙne Alpes,NGOs
Tanzania,National government
Global Public Policy Institute,academia/think/research
Desert Locust Control Organization for Eastern Africa,Other multi
Tufts University,academia/think/research
Centre for the Coordination of Natural Disaster Prevention in Central America,Other multi
Algeria,National government
China Foundation for Poverty Alleviation,NGOs
Red Cross Society of China,red cross
Toyota Gilbratar,private sector corporations
Project Concern International,NGOs
Rotary Fiji,private individual/organisation
Global Earthquake Model Foundation,Undefined
World Wildlife Fund,NGOs
American Red Cross,red cross
ACT Alliance / Christian Aid,NGOs
Stichting CARE Nederland,NGOs
Austrian Red Cross,red cross
Aide Ì† l''Enfance de l''Inde,NGOs
UN Peacebuilding Fund,UN Multi
Handicap International Luxembourg,NGOs
Fondation Raoul Follereau,foundations
Neighbors Initiative Alliance,NGOs
Badil Resource Center for Palestinian Residency and Refugee Rights,NGOs
Wajir South Development Association,NGOs
LandsAid e.V.,NGOs
Catholic Agency for Overseas Development,NGOs
Developmental Action Without Border (Nabaa),NGOs
ACT Alliance / Hungarian Interchurch Aid,NGOs
CoopÈration Humanitaire Luxembourg,DAC governments
Institut Menzingen,other
Verein f. hum. Hilfe Vaduz,other
Les Sarments de Lavaux,NGOs
Verein B‰r und Leu,NGOs
Palestinian Center of Organic Agriculture,NGOs
Palestinian Hydrology Group,NGOs
Palestinian Association for Development and Reconstruction,NGOs
Palestinian Al Nakheel Association for Progress and Development,NGOs
Association d'aide Ì† la femme et de la communication,Undefined
War Child UK,NGOs
Afghanaid,NGOs
Franziskaner,other
Center for the Defence of the Individual,NGOs
ROFI Industrier AS,private sector corporations
MÈdecins sans FrontiËres - Switzerland,NGOs
NGOs | Red Cross Organizations | UN Agencies,Undefined
Non Violent Peace Force,NGOs
Secours Catholique - Caritas France,NGOs
Geneva International Centre for Humanitarian Demining,NGOs
Ethiopia,National government
Association IdÈe-elles,NGOs
Association Persis Valais,NGOs
Swisscontact,foundations
Associazione Amici dellíOasis Togo,NGOs
Association of International Development Agencies,NGOs
Conflict Dynamics International,NGOs
Community and Family Services International,NGOs
NGOs | UN Agencies,Undefined
Kenya,National government
Aweil Window of Opportunities and Development Agency,NGOs
Bel Avenir,other
Restart Center for Rehabilitation of Victims of Violence and Torture,NGOs
Un Ponte Per,NGOs
World Vision USA,NGOs
Kuehne & Nagel,private sector corporations
Peace Corps,DAC governments
Agricultural Cooperative Development International and Volunteers in Overseas Cooperative Assistance,NGOs
AISHA Association for Woman and Child Protection,NGOs
Catholic Organisation for Relief and Development Aid,NGOs
Christian Peacemaker Teams,private individual/organisation
Zimbabwe,National government
Bangladesh,National government
Mercy-USA for Aid and Development,NGOs
"Education, Health, Social Awareness and Rehabilitation Foundation",NGOs
Intercare,NGOs
Swedish Cooperative Centre,NGOs
Fundacion Promocion Social de la Cultura,NGOs
SOS Kinderdorf,NGOs
Dominica,National government
Mine Action Group,other
UN Agencies | NGOs,Undefined
Papua New Guinea Red Cross Society,red cross
Samoa Red Cross Society,red cross
Solomon Islands Red Cross,red cross
Caritas Chad,NGOs
Afghan NGO Security Office,NGOs
Chapman Freeborn Airchartering,private sector corporations
New Consultancy and Relief Organization,NGOs
Norwegian Project Office-Rural Rehabilitation Association for Afghanistan,NGOs
Afghan Women Association for Rehabilitation & Development,NGOs
Social and Humanitarian Assistance Organization,other
Afghan Social and Agricultural Affairs Rehabilitation Organization,other
"Congo, Democratic Republic of",National government
TASSAGHT,other
Groupement des Artisans ruraux díINTADENE-GARI,other
Oxfam Italia,NGOs
Community Aid for Development,other
Carl Duisberg Gesellschaft,academia/think/research
Kolnische Franziskanerprovinz Bosnienhilfe,NGOs
Danish Committee for Aid to Afghan Refugees,NGOs
Somali Humanitarian Aid and Development Organization,NGOs
Bashaer,other
International Media Support,NGOs
African Development Solutions,NGOs
Wamo Relief and Rehabilitation Services,NGOs
Search for Common Ground,NGOs
RHA,private sector corporations
Heal Africa,NGOs
CRRDC-TD,other
Centre de Promotion Socio-Sanitaire,NGOs
Commission diocÈsaine justice et paix (CDJP),other
ComitÈ díAppui Ì† líAuto Promotion,NGOs
Alpha Ujuvi,NGOs
CARITAS KINDU,NGOs
Caritas Dev Kalemie,NGOs
CARITAS BUNIA,NGOs
ArmÈe du Salut Kalemie,NGOs
Action d'Espoir,NGOs
APEC (Association pour la protection de l'enfance  au Congo),other
Actions et Interventions pour le DÈveloppement et l'Encadrement Social,NGOs
Caritas Kananga,NGOs
Association Locale pour le DÈveloppement IntÈgral,NGOs
Questscope,NGOs
Plan Sweden,NGOs
CARE USA,NGOs
Mine Detection Centre,NGOs
Humanitarian Aid Commission,NGOs
HCC-Humanit‰re Nothilfeprogramme weltweit,NGOs
PIPA,other
ASCHIANA,NGOs
APOPO vzw (Anti-Persoonsmijnen Ontmijnende Product Onttwikkeling),NGOs
The Asia Foundation,NGOs
"Macedonia, Former Yugoslav Republic of",National government
Mauritania,National government
Asian Disaster Preparedness Centre,NGOs
Djibouti,National government
Demining Agency for Afghanistan,NGOs
Afghan Technical Consultants,private individual/organisation
Organisation for Mine Awareness and Reconstruction,other
Mine Clearance and Planning Agency,NGOs
Clear Path International,NGOs
Social Impact,NGOs
InterAction,NGOs
Plan USA,NGOs
Midwest Canvas Corporation,private sector corporations
Azerbaijan,National government
Yemen,National government
Caritas Austria,NGOs
Chad,National government
Near East Foundation,foundations
Ghana,National government
Egypt,National government
Syrian Arab Republic,National government
Terre des Hommes - Lausanne,NGOs
Indonesia,National government
Article 36,academia/think/research
"Senter for kunnskap og likestilling, Kvinneuniversitetet Nord",academia/think/research
Sudan,National government
Zambia,National government
Eritrea,National government
Venezuela,National government
South Africa,National government
Institutt for Journalistikk,academia/think/research
The Living History Forum,other
United Nations,UN Multi
Association Morija,NGOs
Humanitarian Accountability Partnership International,NGOs
International Council of Voluntary Agencies,NGOs
Vento di Terra,NGOs
Innovasjon Norge,private sector corporations
SamerÂdet,other
Oxford Research Group,academia/think/research
Kompetansesenteret for urfolksrettigheter,other
International Coalition to Ban Uranium Weapons,NGOs
Control Arms,other
International Work Group for Indigenous Affairs,NGOs
Media Frontiers,NGOs
International Humanitarian Fact-Finding Commission,other
Rehabilitation International,NGOs
Gyro AS,private sector corporations
United Nations Institute for Training and Research,UN Multi
United Nations Operation Programme Support,UN Multi
ETANA Press,NGOs
Huairou Commission,other
NGO Mondo,NGOs
"Center for Emergency Aid and Rehabilitation, Inc.",private sector corporations
Centre d'Enseignement et de Recherche en Action Humanitaire,academia/think/research
United Nations Environment Programme,UN Multi
Islamic Relief Pakistan,NGOs
Hellef fir Rosario,NGOs
Somalia Relive Centre,other
Sudan Medical Care,NGOs
Qatar Red Crescent Society,red cross
Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe,other
Agronomes et VÈtÈrinaires Sans FrontiËres,NGOs
Medicos do Mundo,NGOs
Joint Standards Initiative,NGOs
Private Agencies Collaborating Together,NGOs
PROMAN,private sector corporations
Women and Children Child Care Organization,NGOs
Wardi Relief and Development Initiatives,NGOs
Somali Aid Foundations,NGOs
Access Relief and Development,other
Sustainable Development and Peace Building Initiatives,NGOs
Tadamun Social Society,NGOs
IIDA Women's Development Organization,other
SWISSO - Kalmo,NGOs
Serve Pastoralist International,NGOs
Somali Young Doctors Association,NGOs
Somali Relief and Development Society,NGOs
Sage Organisation,NGOs
Horsed Relief and Development Organization,private individual/organisation
Himilo Relief and Development Association,NGOs
Humanitarian Initiative Just Relief Aid Organization,NGOs
Family Empowerment and Relief Organisation,private individual/organisation
El Barde Primary Helath Care Organization,other
Southern Aid,NGOs
DEH Relief and Development Organization,NGOs
Somali Community Concern,NGOs
Formal Education Network for Private Schools,NGOs
Centre for Peace and Democracy,NGOs
Juba Shine,other
Swedish Christian Council,NGOs
Solidaridad Internacional,NGOs
Global Communities,NGOs
Malawi,National government
Humanitarian Forum Indonesia,other
ACT Alliance / Church World Service - Indonesia,NGOs
Watanís Social Technical Services Association,other
Human Resources Development Agency,NGOs
Nawayee Rehabilitation and Development Organization for Afghan Women,private individual/organisation
Afghanistan Development & Educational Organization,NGOs
Solidarity Organization for Rehabilitation of Afghanistan,National government
Shahrukhi Rehabilitation Project,NGOs
ChildFund International,NGOs
African Medical and Research Foundation,NGOs
ACT Alliance / Church World Service,NGOs
We Effect,other
Mercy Malaysia,NGOs
Syrian Arab Red Crescent,red cross
Assessment Capacities Project,academia/think/research
AMEL - Lebanese Association for Popular Action,NGOs
Pour une Syrie libre,NGOs
GynÈcologie sans frontiËres,NGOs
Volontariato Internazionale per lo Sviluppo,NGOs
Cooperative Housing Foundation International,NGOs
The Humanitarian Forum Yemen,NGOs
Nahda Makers Organization,NGOs
Sarhad Rural Support Programme,NGOs
Centro Integral de RehabilitaciÛn de Colombia,other
Campana Colombiana Contra Minas,NGOs
MIR - MUXO Impact Relief,other
Open Society Institute Assistance Foundation,foundations
Global Compact,UN Multi
Global Reporting Initiative,academia/think/research
CRC - NGO Group for the Convention on the Rights of the Child,NGOs
Human Rights House Foundation,NGOs
Organisation for Economic Co-operation and Development,Other multi
Wilton Park,academia/think/research
Action on Armed Violence,NGOs
Norsk Ressursbank for demokrati og menneskerettigheter,academia/think/research
Sibro Organization for Development,NGOs
Bjerknes Centre for Climate Research,academia/think/research
